serie_id,mes_dt,tipo,fallas_central,fallas_lo,fallas_hi,costo_central,costo_lo,costo_hi
211evo2||Activated charcoal filter pipe||NOISY,2025-12-01,Forecast ML,1.2580050230026245,0.0,31.00897601571451,18.863785319924357,0.0,464.9795953556391
211evo2||Activated charcoal filter pipe||NOISY,2026-01-01,Forecast ML,1.2557358741760254,0.0,43.32996254583772,18.8297594332695,0.0,649.7327883748366
211evo2||Activated charcoal filter pipe||NOISY,2026-02-01,Forecast ML,1.5,0.0,53.03019333388486,22.4925,0.0,795.1877490416035
211evo2||Activated charcoal filter pipe||NOISY,2026-03-01,Forecast ML,1.5,0.0,61.00194198542377,22.4925,0.0,914.7241200714295
211evo2||Activated charcoal filter pipe||NOISY,2026-04-01,Forecast ML,1.5,0.0,68.02519353632817,22.4925,0.0,1020.037777077241
211evo2||Activated charcoal filter pipe||NOISY,2026-05-01,Forecast ML,1.5,0.0,74.37469828448762,22.4925,0.0,1115.2486007758919
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-07-01,Histórico,1.0,1.0,1.0,154.38,154.38,154.38
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-09-01,Histórico,1.0,1.0,1.0,209.36,209.36,209.36
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-10-01,Forecast ML,1.5,0.0,31.250970992711885,272.805,0.0,5683.614094444511
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-11-01,Forecast ML,1.4914567470550537,0.0,43.565683418716745,271.2512385869026,0.0,7923.290843362014
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-12-01,Forecast ML,1.5,0.0,53.03019333388486,272.805,0.0,9644.60126163364
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-01-01,Forecast ML,1.5,0.0,61.00194198542377,272.805,0.0,11094.42318888902
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-02-01,Forecast ML,1.5,0.0,68.02519353632817,272.805,0.0,12371.741948452005
"211evo2||Adjuster unit for valve lift system||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-03-01,Forecast ML,1.5,0.0,74.37469828448762,272.805,0.0,13526.526376999764
"211evo2||Bypass control unit||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-10-01,Histórico,1.0,1.0,1.0,70.27,70.27,70.27
"211evo2||Cam follower shaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-04-01,Histórico,1.0,1.0,1.0,66.2,66.2,66.2
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2024-04-01,Histórico,1.0,1.0,1.0,203.53,203.53,203.53
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2024-05-01,Histórico,3.0,3.0,3.0,867.29,867.29,867.29
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2024-06-01,Histórico,3.0,3.0,3.0,1635.48,1635.48,1635.48
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2024-07-01,Histórico,6.0,6.0,6.0,724.37,724.37,724.37
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2024-08-01,Histórico,2.0,2.0,2.0,516.41,516.41,516.41
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2024-09-01,Histórico,2.0,2.0,2.0,617.38,617.38,617.38
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2024-11-01,Histórico,1.0,1.0,1.0,1503.1,1503.1,1503.1
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2024-12-01,Histórico,1.0,1.0,1.0,447.47,447.47,447.47
211evo2||Camshaft adjuster||ELECTRICAL FAULT,2025-01-01,Histórico,1.0,1.0,1.0,177.17,177.17,177.17
